idk, I don't know
iirng, is it raining
hwrydng, how are you doing
imdggrt, I'm doing great
tyfask, thank you for asking
ontue, on Tuesday
whrisit, where is it
whtstht, what is that
ilseymndy, I'll see you Monday
bktowrk, back to work
imtrng, I'm trying
jstgtpd, just got paid
rnglt, running late
cnyuhlp, can you help
lettlkabttmr, let's talk about it tomorrow
ihvdctrapt, i have a doctor appointment
lktthis, look at this
lokattht, look at that
itinthecbnt, it's in the cabinet
ccnypkupsomrice, can you pick up some rice
ifrgt, I forgot
dntfrgt, don't forget
whnwlarv, when will you arrive
afwmin, a few minutes
imhr, I'm here
dndtht, don't do that
itsrnghr, it's raining here
wdymn, what do you mean
whknwwhttdo, who knows what to do
gngfrawlk, going for a walk
ihvtfdmdg, I have to feed my dog
bbcksn, be back soon
jswtchtv, just watching TV
cntfndit, can't find it
whrthremote, where's the remote
thcrzy, that's crazy
shdigtit, should I get it
tnky, thank you
jbmktngrn, the job market is not good right now
cnysndthttm, can you send that to me
cnt, can't
rusrs, are you serious
jskdn, just kidding,
juskdn, just kidding
jugtdn, just got done
ithtrl, is that real
dywntgowime, do you want to go with me
invragdttht, I never agreed to that
rusr, are you sure
cnt, can't
whwlbthr, who will be there
webthr, we'll be there
amstth, almost there
whsoud, who's outside
thtsscut, that's so cute
gngtthstr, going to the store
whtydngtswknd, what are you doing this weekend
osid, outside
isoutostk, is out of stock
clgtecspt, calling tech support
ontphn, on the phone
brkbl, breakable
wrrdabtit, worried about it
iddntseehrsncwdnnt, i didn't see her since Wednesday
iddntseehrsncwdn, i didn't see her since Wednesday night
ruavbl, are you available
wrhvybn, where have you been
ddntthkbttht, didn't think about that
lklkwemisdit, looks like we missed it
iwslte, I was late
srybttht, sorry about that
rufrrn, are you free right now
hwbtltr, how about later
jprktcar, just parked car
jstprkt, just parked
icldotsd, it's cold outside
jsttlkdtohmbtit, just talked to him about it
brshnmtth, brushing my teeth
gnthgym, going to the gym
gnwchnws, going to watch the news
isitnw, i see it now
wdywndfrdnr, what do you want to do for dinner
nthngry, not hungry
nthngryrn, not hungry right now
wtdyhvfrlch, what did you have for lunch
rmdlngmyktcn, remodeling my kitchen
wlkmydg, walking my dog
mdtrlvshrs, my daughter loves horses
ilkcts, I like cats
ilkdgs, I like dogs
ilkdgsndcts, I like dogs and cats
idnlkcts, I don't like cats
idlkdgsth, I do like dogs though
icntspkfrn, I can't speak French
sryicntspkspnsh, sorry I can't speak Spanish
ilaskhm, I'll ask him
ilaskhr, I'll ask her
whrdylv, where do you live
whrdoylv, where do you live
wherdoyliv, where do you live
ilvnxtdr, I live next door
lstmcrkys, lost my car keys
lstmwlt, lost my wallet
lstmwltndcrkys, lost my wallet and car keys
lstmwltndphn, lost my wallet and phone
mntphn, i'm on the phone
whruwth, who are you with
cnybytgrnone, can you buy the green once
atgrcystr, at grocery store
thtsrpsng, that's surprising
ntvryfrnly, not very friendly
ntvryhlpfl, not very helpful
unprfnl, unprofessional
bdbhr, bad behavior
herlysdtht, he really said that
pkgshvbnarvlt, packages have been arriving late
rfltwcncld, our flight was canceled
undrstd, understood
iunstnd, I understand
iunstod, I understood
ntavilbl, not available
cniseit, can I see it
isitsml, is it small
isitsmall, is it small
itsml, it's small
itobg, it's too big
itobgfrme, it's too big for me
itobgfrmethldit, it's too big for me to hold it
tohottohndl, too hot to handle
lksdgrs, looks dangerous
ntafrdofhrdwrk, not afraid of hard work
ddykntht, did you know that
iwsntawr, I wasn't aware
iwsntawre, I wasn't aware
